coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice
MD-601,2022,6,6,1.0,1,1,1
MD-601,2023,6,6,1.0,1,1,1
MD-601,2024,6,6,1.0,1,1,1
ME-500,2022,6,6,1.0,1,1,1
ME-500,2023,6,6,1.0,1,1,1
MI-500,2022,6,1,0.167,0,1,0
MI-500,2024,6,3,0.5,1,1,0
MI-501,2024,6,6,1.0,1,1,1
MI-502,2022,6,5,0.833,1,1,1
MI-502,2024,6,3,0.5,1,1,0
MI-503,2022,6,3,0.5,1,1,0
MI-503,2023,6,6,1.0,1,1,1
MI-503,2024,6,3,0.5,1,1,0
MI-504,2022,6,5,0.833,1,1,1
MI-504,2023,6,5,0.833,1,1,1
MI-504,2024,6,6,1.0,1,1,1
MI-505,2024,6,6,1.0,1,1,1
MI-506,2022,6,6,1.0,1,1,1
MI-506,2023,6,5,0.833,1,1,1
MI-506,2024,6,3,0.5,1,1,0
MI-507,2022,6,6,1.0,1,1,1
MI-510,2022,6,3,0.5,1,1,0
MI-510,2023,6,3,0.5,1,1,0
MI-510,2024,6,3,0.5,1,1,1
MI-512,2023,6,3,0.5,1,1,0
MI-512,2024,6,4,0.667,1,1,1
MI-514,2024,6,6,1.0,1,1,1
MI-516,2022,6,3,0.5,1,1,0
MI-516,2023,6,3,0.5,1,1,0
MI-516,2024,6,6,1.0,1,1,1
MI-519,2024,6,6,1.0,1,1,1
MI-523,2024,6,6,1.0,1,1,1
MN-500,2022,6,3,0.5,1,1,0
MN-500,2023,6,3,0.5,1,1,0
MN-501,2022,6,6,1.0,1,1,1
MN-501,2024,6,6,1.0,1,1,1
MN-503,2024,6,3,0.5,1,1,0
MN-504,2024,6,3,0.5,1,1,0
MN-506,2023,6,3,0.5,1,1,0
MN-506,2024,6,4,0.667,1,1,1
MN-509,2024,6,3,0.5,1,1,0
MO-501,2023,6,3,0.5,1,1,0
MO-503,2023,6,6,1.0,1,1,1
MO-503,2024,6,6,1.0,1,1,1
MO-600,2023,6,5,0.833,1,1,1
MO-600,2024,6,6,1.0,1,1,1
MO-602,2022,6,2,0.333,1,1,0
MO-602,2023,6,3,0.5,1,1,0
MO-602,2024,6,4,0.667,1,1,1
MO-603,2024,6,6,1.0,1,1,1
MO-606,2022,6,6,1.0,1,1,1
MO-606,2023,6,6,1.0,1,1,1
MO-606,2024,6,6,1.0,1,1,1
MS-501,2022,6,6,1.0,1,1,1
MS-501,2023,6,6,1.0,1,1,1
MS-501,2024,6,6,1.0,1,1,1
MS-503,2023,6,6,1.0,1,1,1
MS-503,2024,6,6,1.0,1,1,1
MT-500,2022,6,6,1.0,1,1,1
MT-500,2023,6,6,1.0,1,1,1
MT-500,2024,6,6,1.0,1,1,1
NC-500,2022,6,6,1.0,1,1,1
NC-500,2023,6,6,1.0,1,1,1
NC-500,2024,6,6,1.0,1,1,1
NC-501,2024,6,6,1.0,1,1,1
NC-502,2022,6,3,0.5,1,1,0
NC-502,2023,6,3,0.5,1,1,0
NC-502,2024,6,6,1.0,1,1,1
NC-505,2022,6,6,1.0,1,1,1
NC-505,2024,6,3,0.5,1,1,0
NC-506,2024,6,4,0.667,1,1,1
NC-507,2023,6,2,0.333,0,1,0
NC-507,2024,6,6,1.0,1,1,1
NC-511,2024,6,6,1.0,1,1,1
NC-513,2024,6,6,1.0,1,1,1
NC-516,2024,6,6,1.0,1,1,1
ND-500,2022,6,0,0.0,0,0,0
ND-500,2023,6,0,0.0,0,0,0
ND-500,2024,6,2,0.333,0,1,1
NE-500,2024,6,3,0.5,1,1,0
NE-501,2024,6,6,1.0,1,1,1
NE-502,2023,6,6,1.0,1,1,1
NE-502,2024,6,6,1.0,1,1,1
NH-500,2022,6,6,1.0,1,1,1
NH-500,2024,6,6,1.0,1,1,1
NH-501,2024,6,6,1.0,1,1,1
NH-502,2022,6,5,0.833,1,1,1
NH-502,2023,6,6,1.0,1,1,1
NH-502,2024,6,5,0.833,1,1,1
NJ-500,2024,6,3,0.5,1,1,0
NJ-501,2022,6,3,0.5,1,1,0
NJ-501,2023,6,6,1.0,1,1,1
NJ-501,2024,6,6,1.0,1,1,1
NJ-502,2023,6,4,0.667,1,1,1
NJ-502,2024,6,6,1.0,1,1,1
NJ-503,2024,6,4,0.667,1,1,1
NJ-504,2024,6,6,1.0,1,1,1
NJ-506,2023,6,3,0.5,1,1,0
NJ-506,2024,6,6,1.0,1,1,1
NJ-507,2024,6,6,1.0,1,1,1
NJ-509,2023,6,2,0.333,1,0,1
NJ-509,2024,6,3,0.5,1,1,0
NJ-512,2023,6,2,0.333,1,1,0
NJ-513,2023,6,3,0.5,1,1,0
NJ-513,2024,6,5,0.833,1,1,1
NJ-514,2022,6,3,0.5,1,1,0
NJ-514,2023,6,3,0.5,1,1,0
NJ-514,2024,6,3,0.5,1,1,0
NJ-516,2024,6,3,0.5,1,1,0
NM-500,2023,6,6,1.0,1,1,1
NM-500,2024,6,6,1.0,1,1,1
NV-500,2022,6,5,0.833,1,1,1
NV-500,2023,6,6,1.0,1,1,1
NV-500,2024,6,6,1.0,1,1,1
NV-501,2024,6,0,0.0,0,0,0
NY-501,2024,6,6,1.0,1,1,1
NY-503,2022,6,3,0.5,1,1,0
NY-503,2023,6,3,0.5,1,1,0
NY-503,2024,6,6,1.0,1,1,1
NY-505,2024,6,5,0.833,1,1,1
NY-507,2022,6,3,0.5,1,1,0
NY-507,2023,6,3,0.5,1,1,0
NY-507,2024,6,6,1.0,1,1,1
NY-510,2022,6,3,0.5,1,1,0
NY-510,2023,6,6,1.0,1,1,1
NY-510,2024,6,5,0.833,1,1,1
NY-511,2022,6,3,0.5,1,1,0
NY-511,2023,6,3,0.5,1,1,0
NY-511,2024,6,6,1.0,1,1,1
NY-512,2022,6,3,0.5,1,1,0
NY-512,2023,6,3,0.5,1,1,0
NY-512,2024,6,6,1.0,1,1,1
NY-513,2023,6,3,0.5,1,1,0
NY-513,2024,6,3,0.5,1,1,0
NY-514,2024,6,4,0.667,1,1,1
NY-518,2022,6,3,0.5,1,1,0
NY-518,2023,6,6,1.0,1,1,1
NY-518,2024,6,6,1.0,1,1,1
NY-519,2022,6,3,0.5,1,1,0
NY-519,2023,6,3,0.5,1,1,0
NY-519,2024,6,6,1.0,1,1,1
NY-520,2022,6,3,0.5,1,1,0
NY-520,2023,6,3,0.5,1,1,0
NY-520,2024,6,6,1.0,1,1,1
NY-522,2022,6,3,0.5,1,1,0
NY-522,2023,6,3,0.5,1,1,0
NY-522,2024,6,6,1.0,1,1,1
NY-523,2022,6,6,1.0,1,1,1
NY-523,2023,6,3,0.5,1,1,0
NY-523,2024,6,6,1.0,1,1,1
NY-525,2023,6,6,1.0,1,1,1
NY-525,2024,6,6,1.0,1,1,1
NY-600,2022,6,6,1.0,1,1,1
NY-600,2023,6,6,1.0,1,1,1
NY-600,2024,6,6,1.0,1,1,1
