coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice,1a_1a,1a_1b,1a_2,1a_3,1a_4,1b_1_1_meetings,1b_1_1_voted,1b_1_1_ces,1b_1_2_meetings,1b_1_2_voted,1b_1_2_ces,1b_1_3_meetings,1b_1_3_voted,1b_1_3_ces,1b_1_4_meetings,1b_1_4_voted,1b_1_4_ces,1b_1_5_meetings,1b_1_5_voted,1b_1_5_ces,1b_1_6_meetings,1b_1_6_voted,1b_1_6_ces,1b_1_7_meetings,1b_1_7_voted,1b_1_7_ces,1b_1_8_meetings,1b_1_8_voted,1b_1_8_ces,1b_1_9_meetings,1b_1_9_voted,1b_1_9_ces,1b_1_10_meetings,1b_1_10_voted,1b_1_10_ces,1b_1_11_meetings,1b_1_11_voted,1b_1_11_ces,1b_1_12_meetings,1b_1_12_voted,1b_1_12_ces,1b_1_13_meetings,1b_1_13_voted,1b_1_13_ces,1b_1_14_meetings,1b_1_14_voted,1b_1_14_ces,1b_1_15_meetings,1b_1_15_voted,1b_1_15_ces,1b_1_16_meetings,1b_1_16_voted,1b_1_16_ces,1b_1_17_meetings,1b_1_17_voted,1b_1_17_ces,1b_1_18_meetings,1b_1_18_voted,1b_1_18_ces,1b_1_19_meetings,1b_1_19_voted,1b_1_19_ces,1b_1_20_meetings,1b_1_20_voted,1b_1_20_ces,1b_1_21_meetings,1b_1_21_voted,1b_1_21_ces,1b_1_22_meetings,1b_1_22_voted,1b_1_22_ces,1b_1_23_meetings,1b_1_23_voted,1b_1_23_ces,1b_1_24_meetings,1b_1_24_voted,1b_1_24_ces,1b_1_25_meetings,1b_1_25_voted,1b_1_25_ces,1b_1_26_meetings,1b_1_26_voted,1b_1_26_ces,1b_1_27_meetings,1b_1_27_voted,1b_1_27_ces,1b_1_28_meetings,1b_1_28_voted,1b_1_28_ces,1b_1_29_meetings,1b_1_29_voted,1b_1_29_ces,1b_1_30_meetings,1b_1_30_voted,1b_1_30_ces,1b_1_31_meetings,1b_1_31_voted,1b_1_31_ces,1b_1_32_meetings,1b_1_32_voted,1b_1_32_ces,1b_1_33_meetings,1b_1_33_voted,1b_1_33_ces,1c_1_1,1c_1_2,1c_1_3,1c_1_4,1c_1_5,1c_1_6,1c_1_7,1c_1_8,1c_1_9,1c_1_10,1c_1_11,1c_1_12,1c_1_13,1c_1_14,1c_1_15,1c_1_16,1c_1_17,1c_3_1,1c_3_2,1c_3_3,1c_3_4,1c_3_5,1c_4_1,1c_4_2,1c_4_3,1c_4_4,1c_4c_1_mou,1c_4c_1_oth,1c_4c_2_mou,1c_4c_2_oth,1c_4c_3_mou,1c_4c_3_oth,1c_4c_4_mou,1c_4c_4_oth,1c_4c_5_mou,1c_4c_5_oth,1c_4c_6_mou,1c_4c_6_oth,1c_4c_7_mou,1c_4c_7_oth,1c_4c_8_mou,1c_4c_8_oth,1c_4c_9_mou,1c_4c_9_oth,1c_7_pha_name_1,1c_7_ph_hhm_1,1c_7_ph_limit_hhm_1,1c_7_psh_1,1c_7_pha_name_2,1c_7_ph_hhm_2,1c_7_ph_limit_hhm_2,1c_7_psh_2,1c_7b_1,1c_7b_2,1c_7b_3,1c_7b_4,1c_7c_1,1c_7c_2,1c_7c_3,1c_7c_4,1c_7c_5,1c_7c_6,1c_7c_7,1c_7d_1,1c_7e,1d_1_1,1d_1_2,1d_1_3,1d_1_4,1d_2_1,1d_2_2,1d_2_3,1d_4_1_policymakers,1d_4_1_prevent_crim,1d_4_2_policymakers,1d_4_2_prevent_crim,1d_4_3_policymakers,1d_4_3_prevent_crim,1d_5_hmis,1d_5_2023,1d_5_2024,1d_6_1,1d_6_2,1d_6_3,1d_6_4,1d_6_5,1d_9_2,1d_10a_1_years,1d_10a_1_unsheltered,1d_10a_2_years,1d_10a_2_unsheltered,1d_10a_3_years,1d_10a_3_unsheltered,1e_1_1,1e_2_1,1e_2_2,1e_2_3,1e_2_4,1e_2_5,1e_2a_1,1e_2a_2,1e_2a_3,1e_4a,1e_5_1,1e_5_2,1e_5a,1e_5b,1e_5c,1e_5d,2a_1,2a_2,2a_3,2a_5_1_non_vsp,2a_5_1_vsp,2a_5_1_hmis,2a_5_1_coverage,2a_5_3_non_vsp,2a_5_3_vsp,2a_5_3_hmis,2a_5_3_coverage,2a_5_4_non_vsp,2a_5_4_vsp,2a_5_4_hmis,2a_5_4_coverage,2a_5_5_non_vsp,2a_5_5_vsp,2a_5_5_hmis,2a_5_5_coverage,2a_5_6_non_vsp,2a_5_6_vsp,2a_5_6_hmis,2a_5_6_coverage,2a_6,2b_1,2b_2,3a_1,3a_2,3c_1,4a_1
NJ-507,2024,6,6,1.0,1,1,1,NJ-507,New Brunswick/Middlesex County CoC,Middlesex County,CA,COMING HOME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Nonexistent,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Perth Amboy Housing Authority,9%,No,No,NJ DCA,96%,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18.0,18.0,1.0,Yes,Yes,Yes,Yes,Yes,Yes,HIC,106,123,Yes,Yes,Yes,Yes,Yes,06/01/2022,12,10,12,10,2,2,05/07/2024,Yes,Yes,Yes,Yes,Yes,222,15,PH-PSH,Yes,,,09/05/2024,Yes,,10/21/2024,Well Sky,Single CoC,05/10/2024,490,0,156,0.32,5,0,5,1.0,83,0,83,1.0,551,0,351,0.64,223,0,136,0.61,Yes,01/23/2024,05/10/2024,Yes,Yes,No,Yes
NJ-509,2023,6,2,0.333,1,0,1,NJ-509,Morris County CoC,County of Morris,CA,New Jersey Housing and Mortgage Finance Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,New Jersey Department of Community Affairs,40%,Yes,No,Morris County Housing Authority,16%,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,14.0,14.0,1.0,Yes,Yes,No,No,No,No,HIC,90,88,Yes,Yes,Yes,Yes,Yes,09/18/2023,5,0,5,0,2,0,06/02/2023,Yes,Yes,Yes,Yes,Yes,420,13,PH-PSH,Yes,,,08/06/2023,Yes,09/18/2023,09/18/2023,Inc.,Multiple CoCs,04/27/2023,109,16,93,1.0,117,25,92,1.0,88,37,51,1.0,245,0,209,0.8531,113,0,113,1.0,Yes,01/24/2023,04/27/2023,Yes,Yes,No,Yes
NJ-509,2024,6,3,0.5,1,1,0,NJ-509,Morris County CoC,County of Morris,CA,NJ HMFA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,The State of New Jersey Department of Community,97%,Yes,No,Morris County Housing Authority,59%,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,13.0,13.0,1.0,Yes,No,Yes,No,Yes,No,HIC,215,206,Yes,Yes,Yes,Yes,Yes,09/28/2023,4,0,6,0,4,0,04/29/2024,Yes,Yes,Yes,Yes,Yes,165,11,PH-PSH,Yes,,,09/16/2024,Yes,10/15/2024,10/15/2024,Inc.,Multiple CoCs,05/09/2024,80,30,110,1.0,91,34,125,1.0,22,34,56,1.0,175,33,175,0.84,84,0,0,0.0,Yes,01/23/2024,05/09/2024,No,Yes,No,Yes
NJ-510,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,NJDeptofCommunityAffairs,3%,Yes,No,CSPNJ,10%,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5.0,5.0,0.1,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,2,2,1,1,,Yes,,,,,,,,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,,No,Yes
NJ-512,2023,6,2,0.333,1,1,0,NJ-512,Salem County CoC,Salem County COC 512,CA,NJ Housing and Mortgage Finance Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Nonexistent,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Salem Housing Authority,1%,Yes,Yes,Penns Grove Housing Authority,1%,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,Yes,1.0,1.0,1.0,Yes,No,Yes,No,No,No,HIC,10,10,Yes,Yes,Yes,Yes,Yes,,6,2,6,1,6,1,08/25/2023,No,No,No,No,No,0,1,TH,No,No,No,09/15/2023,Yes,09/28/2023,09/28/2023,Agency,Single CoC,04/28/2023,33,6,33,1.2222,1,0,1,1.0,,,,,,,,,,,,,Yes,01/25/2023,04/28/2023,No,No,No,No
NJ-513,2022,,,,,,,NJ-513,Somerset County CoC,"Somerset County, NJ",CA,New Jersey Housing and Mortgage Finance Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Nonexistent,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,New Jersey Department of Community Affairs,7%,Yes,Yes,,,,,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/27/2022,Yes,,09/27/2022,Inc.,Multiple CoCs,05/06/2022,86,15,62,0.8732,161,10,131,0.8675,18,0,18,1.0,296,0,37,0.125,,,,,Yes,01/25/2022,05/06/2022,No,No,No,Yes
NJ-513,2023,6,3,0.5,1,1,0,NJ-513,Somerset County CoC,"Somerset County, NJ",CA,New Jersey Housing and Mortgage Finance Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Nonexistent,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NJ Department of Community Affairs,30%,Yes,Yes,Somerville Housing Authority,0%,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5.0,5.0,1.0,Yes,No,Yes,No,Yes,No,,,,Yes,Yes,Yes,Yes,Yes,,2,0,2,0,2,0,06/15/2023,Yes,Yes,Yes,Yes,Yes,175,5,PH-RRH,Yes,Yes,No,08/15/2023,Yes,09/18/2023,09/18/2023,Inc.,Multiple CoCs,04/28/2023,80,15,62,0.9538,157,10,122,0.8299,5,0,5,1.0,269,0,32,0.119,42,0,0,0.0,Yes,01/24/2023,04/28/2023,No,No,No,No
NJ-513,2024,6,5,0.833,1,1,1,NJ-513,Somerset County CoC,"Somerset County, NJ",CA,NJ HMFA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NJ Department of Community Affairs,37%,Yes,No,Somerville Housing Authority,11%,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,4.0,4.0,1.0,Yes,Yes,Yes,Yes,Yes,No,HIC,5,7,Yes,Yes,Yes,Yes,Yes,09/28/2024,2,0,2,0,0,0,05/30/2024,Yes,Yes,Yes,Yes,Yes,240,4,PH-PSH,Yes,No,No,10/22/2024,Yes,,10/22/2024,Inc.,Multiple CoCs,05/08/2024,68,15,62,0.747,161,0,130,0.8075,7,0,7,1.0,451,0,44,0.0976,0,0,0,0.0,Yes,01/23/2024,05/08/2024,No,No,No,No
NJ-514,2022,6,3,0.5,1,1,0,NJ-514,Trenton/Mercer County CoC,City of Trenton,CA,NJ HMFA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Nonexistent,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Trenton Housing Authority,49%,Yes,No,,,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,16.0,16.0,1.0,Yes,No,Yes,No,Yes,No,HMIS,372,266,Yes,Yes,Yes,Yes,Yes,09/20/2022,2,2,3,3,1,1,06/01/2022,Yes,Yes,Yes,Yes,Yes,405,16,PH-PSH,No,No,No,09/20/2022,Yes,,09/20/2022,Foothold Technology,Multiple CoCs,04/28/2022,225,25,200,1.0,96,20,76,1.0,266,6,260,1.0,430,0,349,0.8116,350,0,350,1.0,Yes,01/25/2022,04/28/2022,Yes,Yes,No,No
NJ-514,2023,6,3,0.5,1,1,0,NJ-514,Trenton/Mercer County CoC,City of Trenton,CA,NJ HMFA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Nonexistent,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,NJ Dept of Community Affairs,16%,Yes,Yes,Trenton Housing Authority,47%,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,21.0,21.0,1.0,Yes,No,Yes,No,Yes,No,,,,Yes,Yes,Yes,Yes,Yes,09/19/2023,2,1,2,1,2,1,07/26/2023,Yes,Yes,Yes,Yes,Yes,415,16,PH-PSH,No,Yes,Yes,08/14/2023,Yes,09/19/2023,09/19/2023,NJ HMFA,Statewide,04/27/2023,225,25,200,1.0,92,20,72,1.0,229,12,217,1.0,399,0,350,0.8772,471,0,350,0.7431,Yes,01/24/2023,04/27/2023,No,Yes,No,Yes
NJ-514,2024,6,3,0.5,1,1,0,NJ-514,Trenton/Mercer County CoC,City of Trenton,CA,NJHMFA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,NJ Dept of Community Affairs PHA,95%,Yes,No,Trenton Housing Authority,0%,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,19.0,19.0,1.0,Yes,No,Yes,No,Yes,No,HMIS,558,674,Yes,Yes,Yes,Yes,Yes,06/22/2022,1,0,10,10,1,0,05/02/2024,Yes,Yes,Yes,Yes,Yes,238,17,PH-PSH,No,Yes,Yes,10/15/2024,Yes,,10/15/2024,Foothold Technology,Multiple CoCs,05/08/2024,370,25,395,1.0,87,12,87,0.88,437,27,464,1.0,407,0,358,0.88,350,0,350,1.0,Yes,01/23/2024,05/08/2024,Yes,Yes,No,No
NJ-516,2024,6,3,0.5,1,1,0,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Family Promise of Sussex County,CA,New Jersey Housing and Mortgage Finance Agency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Nonexistent,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,New Jersey Department of Community Affairs,53%,Yes,No,Hunterdon Housing Authority,17%,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,12.0,12.0,1.0,Yes,No,Yes,No,Yes,No,HMIS,329,305,Yes,Yes,Yes,Yes,Yes,09/28/2023,8,1,8,1,1,0,05/23/2024,Yes,Yes,Yes,Yes,Yes,41,11,PH-PSH,Yes,Yes,No,09/11/2024,Yes,,10/19/2024,Inc.,Multiple CoCs,05/08/2024,274,57,274,0.208,118,118,118,1.0,48,48,48,1.0,121,58,121,0.4793,0,0,0,0.0,Yes,01/23/2024,05/09/2024,Yes,Yes,No,Yes
NM-500,2022,,,,,,,NM-500,Albuquerque CoC,City of Albuquerque,CA,New Mexico Coalition to End Homelessness,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,,,,Yes,No,Yes,,,,,,,,,,Yes,No,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2022,,,,,,,,,,,,,,,,,,,,,,10/17/2022,10/17/2022,No,,,
